trip_date,ontime_trip_count,trip_count,ObjectId
2023/08/16 04:00:00+00,3182,3657,3521
2024/04/22 04:00:00+00,3462,3695,3522
2024/03/03 05:00:00+00,1365,1581,3523
2023/11/24 05:00:00+00,1806,1863,3524
2023/08/17 04:00:00+00,3294,3722,3525
2024/04/23 04:00:00+00,3488,3917,3526
2024/03/04 05:00:00+00,3349,3630,3527
2023/11/25 05:00:00+00,1465,1526,3528
2023/08/18 04:00:00+00,2817,3122,3529
2024/04/24 04:00:00+00,3583,3892,3530
2024/03/05 05:00:00+00,3547,3990,3531
2023/11/26 05:00:00+00,1365,1505,3532
2023/08/19 04:00:00+00,1585,1839,3533
2024/04/25 04:00:00+00,3644,4024,3534
2024/03/06 05:00:00+00,3560,3940,3535
2023/11/27 05:00:00+00,2966,3442,3536
2023/08/20 04:00:00+00,1330,1558,3537
2024/04/26 04:00:00+00,3247,3567,3538
2024/03/07 05:00:00+00,3568,3867,3539
2023/11/28 05:00:00+00,3462,3935,3540
2023/08/21 04:00:00+00,2921,3291,3541
2024/04/27 04:00:00+00,1743,1912,3542
2024/03/08 05:00:00+00,3327,3719,3543
2023/11/29 05:00:00+00,3274,3745,3544
2023/08/22 04:00:00+00,3134,3672,3545
2024/04/28 04:00:00+00,1515,1618,3546
2024/03/09 05:00:00+00,1701,1847,3547
2023/11/30 05:00:00+00,3314,3920,3548
2023/08/23 04:00:00+00,3220,3644,3549
2024/04/29 04:00:00+00,3297,3551,3550
2024/03/10 05:00:00+00,1347,1479,3551
2023/12/01 05:00:00+00,3256,3620,3552
2023/08/24 04:00:00+00,3361,3745,3553
2024/04/30 04:00:00+00,3410,3874,3554
2024/03/11 04:00:00+00,3208,3479,3555
2023/12/02 05:00:00+00,1800,1957,3556
2023/08/25 04:00:00+00,2920,3192,3557
2024/05/01 04:00:00+00,3587,3921,3558
2024/03/12 04:00:00+00,3609,4009,3559
2023/12/03 05:00:00+00,1331,1533,3560
2023/08/26 04:00:00+00,1566,1703,3561
2024/05/02 04:00:00+00,3537,3932,3562
2024/03/13 04:00:00+00,3681,4038,3563
2023/12/04 05:00:00+00,3147,3615,3564
2023/08/27 04:00:00+00,1288,1553,3565
2024/05/03 04:00:00+00,3344,3562,3566
2024/03/14 04:00:00+00,3749,4110,3567
2023/12/05 05:00:00+00,3399,3981,3568
2023/08/28 04:00:00+00,2917,3365,3569
2024/05/04 04:00:00+00,1829,1939,3570
2024/03/15 04:00:00+00,3377,3646,3571
2023/12/06 05:00:00+00,3393,3900,3572
2023/08/29 04:00:00+00,3201,3655,3573
2024/05/05 04:00:00+00,1531,1590,3574
2024/03/16 04:00:00+00,1783,1904,3575
2023/12/07 05:00:00+00,3386,3831,3576
2023/08/30 04:00:00+00,3026,3451,3577
2023/08/31 04:00:00+00,3116,3643,3578
2023/09/01 04:00:00+00,2770,3284,3579
2023/09/02 04:00:00+00,1715,1874,3580
2023/09/03 04:00:00+00,1358,1564,3581
2023/09/04 04:00:00+00,1238,1307,3582
2024/03/17 04:00:00+00,1424,1575,3583
2024/03/18 04:00:00+00,3233,3523,3584
2024/03/19 04:00:00+00,3574,3975,3585
2024/03/20 04:00:00+00,3656,4020,3586
2024/03/21 04:00:00+00,3632,4042,3587
2024/03/22 04:00:00+00,3407,3701,3588
2024/05/06 04:00:00+00,3390,3586,3589
2024/05/07 04:00:00+00,3697,4013,3590
2024/05/08 04:00:00+00,3671,3975,3591
2024/05/09 04:00:00+00,3722,4081,3592
2024/05/10 04:00:00+00,3461,3733,3593
2024/05/11 04:00:00+00,1806,1914,3594
2023/12/08 05:00:00+00,3113,3646,3595
2023/12/09 05:00:00+00,1736,1922,3596
2023/12/10 05:00:00+00,1467,1628,3597
2023/12/11 05:00:00+00,2957,3344,3598
2023/12/12 05:00:00+00,3429,4135,3599
2023/12/13 05:00:00+00,3264,3833,3600
2024/10/09 04:00:00+00,3927,4200,3601
2024/10/10 04:00:00+00,3888,4123,3602
2024/10/11 04:00:00+00,3706,3910,3603
2024/10/12 04:00:00+00,1895,2014,3604
2024/10/13 04:00:00+00,1633,1677,3605
2024/10/14 04:00:00+00,2322,2389,3606
2024/10/15 04:00:00+00,3683,4024,3607
2024/10/16 04:00:00+00,3852,4173,3608
2024/10/17 04:00:00+00,3893,4138,3609
2024/10/18 04:00:00+00,3764,3983,3610
2024/10/19 04:00:00+00,1911,2079,3611
2024/10/20 04:00:00+00,1777,1856,3612
2024/10/21 04:00:00+00,3604,3844,3613
2024/10/22 04:00:00+00,3825,4270,3614
2024/10/23 04:00:00+00,3953,4239,3615
2024/10/24 04:00:00+00,3806,3982,3616
2024/10/25 04:00:00+00,3729,3955,3617
2024/10/26 04:00:00+00,1969,2080,3618
2024/10/27 04:00:00+00,1778,1855,3619
2024/10/28 04:00:00+00,3691,3940,3620
2024/10/29 04:00:00+00,3908,4277,3621
2024/10/30 04:00:00+00,3943,4231,3622
2024/10/31 04:00:00+00,3927,4152,3623
2024/11/01 04:00:00+00,3757,3912,3624
2024/11/02 04:00:00+00,1971,2048,3625
2024/11/03 04:00:00+00,1697,1761,3626
2024/11/04 05:00:00+00,3690,3911,3627
2024/11/05 05:00:00+00,3906,4154,3628
2024/11/06 05:00:00+00,3792,4129,3629
2024/11/07 05:00:00+00,3958,4285,3630
2024/11/08 05:00:00+00,3719,3953,3631
2024/11/09 05:00:00+00,1895,2021,3632
2024/11/10 05:00:00+00,1627,1703,3633
2024/11/11 05:00:00+00,2886,2964,3634
2024/11/12 05:00:00+00,3865,4208,3635
2024/11/13 05:00:00+00,4025,4381,3636
2024/11/14 05:00:00+00,3991,4253,3637
2024/11/15 05:00:00+00,3816,4079,3638
2024/11/16 05:00:00+00,1886,1991,3639
2024/11/17 05:00:00+00,1758,1833,3640
2024/11/18 05:00:00+00,3794,3996,3641
2024/11/19 05:00:00+00,3913,4362,3642
2024/11/20 05:00:00+00,3987,4372,3643
2024/11/21 05:00:00+00,3916,4348,3644
2024/11/22 05:00:00+00,3787,3985,3645
2024/11/23 05:00:00+00,1943,2033,3646
2024/11/24 05:00:00+00,1951,2076,3647
2024/11/25 05:00:00+00,3609,3860,3648
2024/11/26 05:00:00+00,3742,4149,3649
2025/04/27 04:00:00+00,1726,1811,3650
2024/11/27 05:00:00+00,3450,3624,3651
2025/04/28 04:00:00+00,3701,4000,3652
2025/04/29 04:00:00+00,3900,4289,3653
2025/04/30 04:00:00+00,3950,4308,3654
2025/05/01 04:00:00+00,3865,4214,3655
2025/05/02 04:00:00+00,3714,3941,3656
2025/05/03 04:00:00+00,1991,2136,3657
2025/05/04 04:00:00+00,1706,1791,3658
2025/05/05 04:00:00+00,3693,4000,3659
2025/05/06 04:00:00+00,3905,4202,3660
2025/05/07 04:00:00+00,3936,4308,3661
2025/05/08 04:00:00+00,4009,4409,3662
2025/05/09 04:00:00+00,3466,3749,3663
2025/05/10 04:00:00+00,1930,2084,3664
2025/05/11 04:00:00+00,1809,2003,3665
2025/05/12 04:00:00+00,3610,3876,3666
2025/05/13 04:00:00+00,3855,4131,3667
2025/05/14 04:00:00+00,3825,4247,3668
2025/05/15 04:00:00+00,3764,4119,3669
2025/05/16 04:00:00+00,3649,3906,3670
2025/05/17 04:00:00+00,1859,1982,3671
2025/05/18 04:00:00+00,1778,1929,3672
2025/05/19 04:00:00+00,3759,4018,3673
2025/05/20 04:00:00+00,3966,4303,3674
2025/05/21 04:00:00+00,3898,4213,3675
2025/05/22 04:00:00+00,3625,3827,3676
2025/05/23 04:00:00+00,3678,3825,3677
2025/05/24 04:00:00+00,1904,1980,3678
2025/05/25 04:00:00+00,1719,1764,3679
2025/05/26 04:00:00+00,1467,1495,3680
2025/05/27 04:00:00+00,3722,4174,3681
2025/05/28 04:00:00+00,3916,4293,3682
2025/05/29 04:00:00+00,3920,4366,3683
2025/05/30 04:00:00+00,3701,4031,3684
2025/05/31 04:00:00+00,1864,1950,3685
2025/06/01 04:00:00+00,1697,1785,3686
2025/06/02 04:00:00+00,3496,3675,3687
2025/06/03 04:00:00+00,3978,4385,3688
2025/06/04 04:00:00+00,3863,4218,3689
2025/06/05 04:00:00+00,3955,4294,3690
2025/06/06 04:00:00+00,3644,3895,3691
2025/06/07 04:00:00+00,1915,2053,3692
2025/06/08 04:00:00+00,1864,1967,3693
2025/06/09 04:00:00+00,3637,3855,3694
2025/06/10 04:00:00+00,3778,4135,3695
2025/06/11 04:00:00+00,3975,4452,3696
2025/06/12 04:00:00+00,3960,4303,3697
2025/06/13 04:00:00+00,3616,3866,3698
2025/06/14 04:00:00+00,1997,2137,3699
2025/06/15 04:00:00+00,1712,1823,3700
2025/01/17 05:00:00+00,3569,3754,3701
2025/01/18 05:00:00+00,1861,1967,3702
2025/01/19 05:00:00+00,1469,1526,3703
2025/01/20 05:00:00+00,1298,1353,3704
2025/01/21 05:00:00+00,3529,3753,3705
2025/01/22 05:00:00+00,3706,3890,3706
2025/01/23 05:00:00+00,3784,4011,3707
2025/01/24 05:00:00+00,3718,3866,3708
2025/01/25 05:00:00+00,1805,1882,3709
2025/01/26 05:00:00+00,1686,1771,3710
2025/01/27 05:00:00+00,3527,3828,3711
2025/01/28 05:00:00+00,3860,4203,3712
2025/01/29 05:00:00+00,3724,3913,3713
2025/01/30 05:00:00+00,3825,4060,3714
2025/01/31 05:00:00+00,3459,3749,3715
2025/02/01 05:00:00+00,1701,1750,3716
2025/02/02 05:00:00+00,1571,1625,3717
2025/02/03 05:00:00+00,3511,3697,3718
2025/02/04 05:00:00+00,3910,4192,3719
2025/02/05 05:00:00+00,3778,4008,3720
2025/02/06 05:00:00+00,2870,2959,3721
2025/02/07 05:00:00+00,3666,3883,3722
2025/02/08 05:00:00+00,1906,2024,3723
2025/02/09 05:00:00+00,720,744,3724
2025/02/10 05:00:00+00,3724,3957,3725
2025/02/11 05:00:00+00,3956,4219,3726
2025/02/12 05:00:00+00,3929,4142,3727
2025/02/13 05:00:00+00,3578,3762,3728
2025/02/14 05:00:00+00,3593,3883,3729
2025/02/15 05:00:00+00,1768,1853,3730
2025/02/16 05:00:00+00,848,879,3731
2025/02/17 05:00:00+00,1697,1741,3732
2025/02/18 05:00:00+00,3690,3890,3733
2025/02/19 05:00:00+00,3772,3905,3734
2025/02/20 05:00:00+00,3656,3802,3735
2025/02/21 05:00:00+00,3475,3618,3736
2025/02/22 05:00:00+00,1869,1938,3737
2025/02/23 05:00:00+00,1625,1694,3738
2025/02/24 05:00:00+00,3648,3898,3739
2025/02/25 05:00:00+00,3936,4231,3740
2025/02/26 05:00:00+00,3904,4228,3741
2025/02/27 05:00:00+00,3655,4064,3742
2025/02/28 05:00:00+00,3595,3801,3743
2025/03/01 05:00:00+00,1907,2018,3744
2025/03/02 05:00:00+00,1588,1647,3745
2025/03/03 05:00:00+00,3727,3898,3746
2025/03/04 05:00:00+00,3967,4271,3747
2025/03/05 05:00:00+00,3959,4168,3748
2025/03/06 05:00:00+00,3852,4070,3749
2025/03/07 05:00:00+00,3663,3846,3750
2024/08/20 04:00:00+00,3516,3685,3751
2024/08/21 04:00:00+00,3590,3723,3752
2024/08/22 04:00:00+00,3559,3695,3753
2024/08/23 04:00:00+00,3294,3416,3754
2024/08/24 04:00:00+00,1678,1776,3755
2024/08/25 04:00:00+00,1568,1635,3756
2024/08/26 04:00:00+00,3224,3309,3757
2024/08/27 04:00:00+00,3560,3748,3758
2024/08/28 04:00:00+00,3522,3648,3759
2024/08/29 04:00:00+00,3650,3794,3760
2024/08/30 04:00:00+00,3379,3502,3761
2024/08/31 04:00:00+00,1777,1843,3762
2024/09/01 04:00:00+00,1436,1496,3763
2024/09/02 04:00:00+00,1321,1347,3764
2024/09/03 04:00:00+00,3513,3726,3765
2024/09/04 04:00:00+00,3662,3893,3766
2024/09/05 04:00:00+00,3697,3937,3767
2024/09/06 04:00:00+00,3549,3697,3768
2024/09/07 04:00:00+00,1793,1876,3769
2024/09/08 04:00:00+00,1699,1780,3770
2024/09/09 04:00:00+00,3505,3721,3771
2024/09/10 04:00:00+00,3740,4116,3772
2024/09/11 04:00:00+00,3790,4105,3773
2024/09/12 04:00:00+00,3760,4012,3774
2024/09/13 04:00:00+00,3523,3681,3775
2024/09/14 04:00:00+00,1880,2023,3776
2024/09/15 04:00:00+00,1682,1794,3777
2024/09/16 04:00:00+00,3487,3719,3778
2024/09/17 04:00:00+00,3747,4113,3779
2024/09/18 04:00:00+00,3887,4261,3780
2024/09/19 04:00:00+00,3842,4155,3781
2024/09/20 04:00:00+00,3506,3667,3782
2024/09/21 04:00:00+00,1745,1819,3783
2024/09/22 04:00:00+00,1660,1718,3784
2024/09/23 04:00:00+00,3537,3727,3785
2024/09/24 04:00:00+00,3872,4107,3786
2024/09/25 04:00:00+00,3893,4129,3787
2024/09/26 04:00:00+00,3765,3979,3788
2024/09/27 04:00:00+00,3554,3739,3789
2024/09/28 04:00:00+00,1858,1962,3790
2024/09/29 04:00:00+00,1606,1677,3791
2024/09/30 04:00:00+00,3495,3629,3792
2024/10/01 04:00:00+00,3830,4052,3793
2024/10/02 04:00:00+00,3796,4003,3794
2024/10/03 04:00:00+00,3827,3972,3795
2024/10/04 04:00:00+00,3651,3806,3796
2024/10/05 04:00:00+00,1907,2036,3797
2024/10/06 04:00:00+00,1755,1831,3798
2024/10/07 04:00:00+00,3537,3763,3799
2024/10/08 04:00:00+00,3750,4070,3800
2024/07/01 04:00:00+00,3169,3346,3801
2025/03/08 05:00:00+00,1929,2025,3802
2024/11/28 05:00:00+00,1738,1810,3803
2024/05/12 04:00:00+00,1667,1704,3804
2024/07/02 04:00:00+00,3515,3656,3805
2024/07/03 04:00:00+00,3395,3510,3806
2024/07/04 04:00:00+00,1278,1321,3807
2024/07/05 04:00:00+00,2713,2784,3808
2024/07/06 04:00:00+00,1612,1659,3809
2024/07/07 04:00:00+00,1531,1584,3810
2024/07/08 04:00:00+00,3200,3387,3811
2024/07/09 04:00:00+00,3535,3823,3812
2024/07/10 04:00:00+00,3429,3645,3813
2024/07/11 04:00:00+00,3459,3655,3814
2024/07/12 04:00:00+00,3282,3448,3815
2024/07/13 04:00:00+00,1630,1692,3816
2024/07/14 04:00:00+00,1647,1727,3817
2024/07/15 04:00:00+00,3279,3471,3818
2024/05/13 04:00:00+00,3314,3541,3819
2024/07/16 04:00:00+00,3384,3620,3820
2025/03/09 05:00:00+00,1685,1760,3821
2024/11/29 05:00:00+00,2023,2067,3822
2024/05/14 04:00:00+00,3766,4067,3823
2024/07/17 04:00:00+00,3492,3744,3824
2025/03/10 04:00:00+00,3727,3867,3825
2024/11/30 05:00:00+00,1631,1680,3826
2024/05/15 04:00:00+00,3688,3948,3827
2024/07/18 04:00:00+00,3559,3788,3828
2025/03/11 04:00:00+00,3910,4232,3829
2024/12/01 05:00:00+00,1582,1643,3830
2024/05/16 04:00:00+00,3628,3948,3831
2024/07/19 04:00:00+00,3227,3372,3832
2025/03/12 04:00:00+00,3936,4155,3833
2024/12/02 05:00:00+00,3584,3769,3834
2024/05/17 04:00:00+00,3340,3564,3835
2024/07/20 04:00:00+00,1813,1909,3836
2025/03/13 04:00:00+00,4034,4237,3837
2024/12/03 05:00:00+00,3788,4153,3838
2024/05/18 04:00:00+00,1762,1861,3839
2024/07/21 04:00:00+00,1571,1652,3840
2025/03/14 04:00:00+00,3639,3841,3841
2024/12/04 05:00:00+00,3973,4302,3842
2024/05/19 04:00:00+00,1561,1627,3843
2024/07/22 04:00:00+00,3299,3520,3844
